stage,variant,train_seed,height,status,metric,value,n,mean,sample_std
stage-b,baseline,44,,completed,optimization.last_update.first_step_normalized_mean_change_rms,0.06840892023488028,,,
stage-b,baseline,44,,completed,optimization.last_update.final_kl,0.01403907956776601,,,
stage-b,baseline,44,,completed,optimization.last_update.final_mean_kl,0.01403907544010202,,,
stage-b,baseline,44,,completed,optimization.last_update.final_std_kl,4.127663990222137e-09,,,
stage-b,baseline,44,,completed,optimization.last_update.final_mean_change_rms,0.01369490192030331,,,
stage-b,baseline,44,,completed,optimization.last_update.final_std_mean,0.20032917708158493,,,
stage-b,baseline,44,,completed,optimization.step_utilization,0.15,,,
stage-b,lr3e5_head01,22,,completed,learning_rate,3e-05,,,
stage-b,lr3e5_head01,22,,completed,mean_init_scale,0.1,,,
stage-b,lr3e5_head01,22,,completed,initial_std,0.2,,,
stage-b,lr3e5_head01,22,,completed,sampled_training_rss_peak_mib,4724.59375,,,
stage-b,lr3e5_head01,22,,completed,optimization.updates_observed,80,,,
stage-b,lr3e5_head01,22,,completed,optimization.actual_optimizer_steps,640,,,
stage-b,lr3e5_head01,22,,completed,optimization.planned_optimizer_steps,640,,,
stage-b,lr3e5_head01,22,,completed,optimization.early_stopped_updates,0,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.actor_loss,-0.0017580445273779333,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.value_loss,0.014991374220699072,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.entropy,-1.143046572804451,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.kl,0.003074231673963368,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.clip_fraction,0.028076171875,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.loss,0.018948563025332987,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.auxiliary_loss,0.0,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.auxiliary_coef,0.0,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.grad_norm,1.9059011340141296,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.optimizer_steps,8,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.planned_optimizer_steps,8,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.sample_count,32768,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.early_stopped,False,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.stop_kl,0.0,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.initial_mean_abs,0.0526077435121645,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.initial_std_mean,0.20000000298023224,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.initial_std_min,0.20000000298023224,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.initial_std_max,0.20000000298023224,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.first_step_kl,0.00033815895053248787,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.first_step_mean_kl,0.0003381535411909801,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.first_step_std_kl,5.409341507763097e-09,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.first_step_mean_change_rms,0.002123390410597424,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.first_step_normalized_mean_change_rms,0.01061695189478221,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.final_kl,0.006393740114451486,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.final_mean_kl,0.006393610662876482,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.final_std_kl,1.2945157500395097e-07,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.final_mean_change_rms,0.009232247575241073,,,
stage-b,lr3e5_head01,22,,completed,optimization.first_update.final_std_mean,0.19999514520168304,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.actor_loss,-0.0010225242003798485,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.value_loss,0.003561102057574317,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.entropy,-1.1229582726955414,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.kl,0.0010327149839213234,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.clip_fraction,0.0018310546875,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.loss,0.008153369359206408,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.auxiliary_loss,0.0,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.auxiliary_coef,0.0,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.grad_norm,1.8864601701498032,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.optimizer_steps,8,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.planned_optimizer_steps,8,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.sample_count,32768,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.early_stopped,False,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.stop_kl,0.0,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.initial_mean_abs,0.3064751189152351,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.initial_std_mean,0.20066293080647785,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.initial_std_min,0.20049549639225006,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.initial_std_max,0.20091408491134644,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.first_step_kl,4.437616812520081e-05,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.first_step_mean_kl,4.4375194341417885e-05,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.first_step_std_kl,9.737837829226642e-10,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.first_step_mean_change_rms,0.0007717032777938439,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.first_step_normalized_mean_change_rms,0.0038460568675909895,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.final_kl,0.004155262753871289,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.final_mean_kl,0.004155230849948479,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.final_std_kl,3.1903922809949104e-08,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.final_mean_change_rms,0.007466648488308927,,,
stage-b,lr3e5_head01,22,,completed,optimization.last_update.final_std_mean,0.20067583272854486,,,
stage-b,lr3e5_head01,22,,completed,optimization.step_utilization,1.0,,,
stage-b,lr3e5_head01,33,,completed,learning_rate,3e-05,,,
stage-b,lr3e5_head01,33,,completed,mean_init_scale,0.1,,,
stage-b,lr3e5_head01,33,,completed,initial_std,0.2,,,
stage-b,lr3e5_head01,33,,completed,sampled_training_rss_peak_mib,4725.3125,,,
stage-b,lr3e5_head01,33,,completed,optimization.updates_observed,80,,,
stage-b,lr3e5_head01,33,,completed,optimization.actual_optimizer_steps,640,,,
stage-b,lr3e5_head01,33,,completed,optimization.planned_optimizer_steps,640,,,
stage-b,lr3e5_head01,33,,completed,optimization.early_stopped_updates,0,,,
stage-b,lr3e5_head01,33,,completed,optimization.first_update.actor_loss,-0.001107443356886506,,,
stage-b,lr3e5_head01,33,,completed,optimization.first_update.value_loss,0.019231581827625632,,,
stage-b,lr3e5_head01,33,,completed,optimization.first_update.entropy,-1.1431540697813034,,,
stage-b,lr3e5_head01,33,,completed,optimization.first_update.kl,0.0018063955358229578,,,
stage-b,lr3e5_head01,33,,completed,optimization.first_update.clip_fraction,0.00994873046875,,,
